date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:15	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Aug%202025%2020:44:17%20GMT	http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6.0.delayed	(from )
22:44:15	9560/9560	---M--	200	added ('OK')	text/html	etag:%22689cde51-2558%22	http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/index.html	(from )
22:44:15	9890/9890	---M--	404	error ('Not%20Found')	text/html	etag:%22664cd2ee-26a2%22	http://jenkaz.smallhost.pl/robots.txt		(from )
22:44:15	1238/1238	---M--	200	added ('OK')	application/javascript	etag:%22681d5242-4d6%22	http://jenkaz.smallhost.pl/sw.js	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/sw.js	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
22:44:16	71630/71630	---M--	200	added ('OK')	image/svg+xml	etag:%22681d523d-117ce%22	http://jenkaz.smallhost.pl/images/coi_common_ui_ic_mobywatel_logo.svg	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/images/coi_common_ui_ic_mobywatel_logo.svg	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
22:44:17	9890/9890	---M--	404	error ('Not%20Found')	text/html	etag:%22664cd2ee-26a2%22	http://jenkaz.smallhost.pl/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
22:44:18	918/918	---M--	200	added ('OK')	application/json	etag:%22681d5241-396%22	http://jenkaz.smallhost.pl/manifest.json	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/manifest.json	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
22:44:38	126072/126072	---M--	200	added ('OK')	font/ttf	etag:%22681d5240-1ec78%22	http://jenkaz.smallhost.pl/images/roboto_regular.ttf	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/images/roboto_regular.ttf	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
22:44:39	127488/127488	---M--	200	added ('OK')	font/ttf	etag:%22681d5240-1f200%22	http://jenkaz.smallhost.pl/images/roboto_medium.ttf	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/images/roboto_medium.ttf	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
22:44:44	170420/170420	---M--	200	added ('OK')	font/ttf	etag:%22681d5240-299b4%22	http://jenkaz.smallhost.pl/images/roboto_light.ttf	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/images/roboto_light.ttf	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
22:44:45	3316/3316	---M--	200	added ('OK')	font/ttf	etag:%22681d5240-cf4%22	http://jenkaz.smallhost.pl/images/roboto_medium_numbers.ttf	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/images/roboto_medium_numbers.ttf	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
22:44:47	78140/78140	---M--	200	added ('OK')	image/svg+xml	etag:%22681d523c-1313c%22	http://jenkaz.smallhost.pl/images/coi_common_ic_mobywatel_horizontal_logo_text.svg	C:/My%20Web%20Sites/strona/jenkaz.smallhost.pl/images/coi_common_ic_mobywatel_horizontal_logo_text.svg	(from http://jenkaz.smallhost.pl/demObywatel_admin_IGOR_aByw6/)
